no,word,score
1,'hnmrKy,-5
2,'hn wjwnkhy,-5
3,chwdnh,-5
4,twGndy,-5
5,bmy,-5
6,chwdnh,-5
7,'hnmrK~ bryd,-5
8,rymwt kntrwl myn,-5
9, bm ,-5
10,dSmnY,-4
11,trhkryzy,-4
12,bryd,-4
13,tpyn,-4
14,mRy,-4
15,qtlynw,-4
16,myn,-4
17,bdm`sh ,-4
18,nshy,-4
19, chwdn ,-4
20, dchwdnh ,-4
21,wjl,-3
22,jKRhyzw,-3
23,brydkwwnkyw,-3
24, Gm,-3
25,jwbl,-3
26,Dzy,-3
27,wwrwl,-3
28, nSty,-3
29,wlwt,-3
30,zndnh,-3
31,'hnwr,-3
32,'hwkh,-3
33, wjl ,-3
34, wwjl ,-3
35,  tpyn ,-3
36,wslwl,-2
37,nrwG,-2
38,tslT,-2
39,twpkh,-2
40,mkhlft,-2
41,whl,-2
42,wld,-2
43,Krn ,-2
44, tkhr ,-2
45,zkhmyn,-2
46,srtyry,-2
47,jnKylw,-2
48,'hwkwnw,-2
49,zyn,-2
50,hdyrh,-2
51,swzdl~,-2
52, skhtw,-2
53,njm,-2
54,nHpy khbrh ,-2
55,  yry ,-2
56,wyhhl ,-2
57,sw'hdly ,-1
58,mrK,-1
59,khTr,-1
60,tRly,-1
61,Gyr qnwny,-1
62,TrHw,-1
63,khnDwnh,-1
64,ndySn,-1
65,zHmtw ,-1
66,sprl ,-1
67, wSkh,-1
68,nkhr,-1
69,hyrh ,-1
70,pyl,-1
71,sz ,-1
72,sprlh,-1
73,fny,-1
74, khmzwr,-1
75,n rDytY,-1
76,wjnKwh,-1
77,dy'tlfy 'hwkwnw,-1
78, lywny ,-1
79, khlf ,-1
80,  mjrm ,-1
81, psmnh ,-1
82, fgnstn ,0
83,  pkhstn ,0
84,`ln,1
85,byKn,1
86,nywkhy,1
87,nskhwrydw,1
88,stkhbrty,1
89,smbl,1
90,bkht,1
91,mnyt,1
92, pls,1
93,mSlHtwnw,1
94,jwRSt,1
95,mwjwdyt,1
96,wkh,1
97,Hyrnty,1
98,`wD,1
99, mnkhnywy,1
100,tHdy,1
101,dSmnh,1
102, aswdKy,1
103,Gth,1
104,twth,1
105,njwRh,1
106,Kylh,1
107,Swwnkhy ,1
108,chp,1
109,srHdy,1
110, dpS,1
111, wslh ,1
112, rwg ,1
113,chrwkhw ,2
114,Dmnt,2
115,mkhnywy,2
116,GwnDh,2
117,sbb,2
118,qwmndnn,2
119,DDmn,2
120,wlsmshrY,2
121,w Gndl,2
122,khlqy ,2
123, qn`t,2
124,kmpwnw,2
125,mwrchl,2
126, khwR,2
127, khnd,2
128,lmsy,2
129, shhdn,2
130, GRh,2
131,dwyjRydw,2
132, plrnY,2
133, zyRdl~,2
134,twlnyz,2
135,jnKylyw,2
136,wyshly,2
137,pr ySy,2
138,`dt,2
139,tnkhyw,2
140,khrkhnKy,2
141, wlswly ,2
142,  khdmt ,2
143,hywd,3
144,mrsth,3
145,khlSwn,3
146,mltR,3
147,twlKY,3
148,khwnd,3
149, khsn,3
150,wlsy wKRw,3
151,jnzh ,3
152,dwlt,3
153,mrmn,3
154,mrsth,3
155, KDwn,3
156, KyDh,3
157,GyRkhy,3
158,nkhshf,3
159,mkhnywy,3
160,wkhystl,3
161, hdf,3
162,mshr ,3
163,rwGtwn ,4
164, d`,4
165,mynh,4
166,khrwn,4
167,'hwb,4
168,hl 'hl,4
169,sRytwb,4
170,rwG,4
171,rwG rmt,4
172,mrsth,4
173,DD,4
174,Htrm ,4
175,db,4
176,jwndh ,4
177,swlh,5
178,swlh,5
179,jwnd,5
180,jw mt,5
181, Hqwqw,5
182,`zt,5
183,thwb ,5
184, jwmt ,5
